0000120,2019/05/24 15:54:04,1011,-001.1,-00.19,-273.146,-273.144,34.894,20.539,8.08,08.087,0.000,100,9999,9999,9999,9999
0000121,2019/05/24 15:54:04,1021,01413,1.32543,1.31643,1.74185,1.39865,213.332,217.427,-4.094
0000122,2019/05/24 15:54:09,1011,-001.1,-01.77,-273.150,-273.137,34.879,20.554,8.08,08.088,0.000,100,9999,9999,9999,9999
0000123,2019/05/24 15:54:09,1021,01413,1.32531,1.31788,1.74724,1.40316,207.521,214.334,-6.813
0000124,2019/05/24 15:54:14,1011,-001.9,-01.81,-273.147,-273.125,34.853,20.579,8.08,08.088,0.000,100,9999,9999,9999,9999
0000125,2019/05/24 15:54:14,1021,01413,1.33234,1.32326,1.74917,1.40435,215.322,219.014,-3.692
0000126,2019/05/24 15:54:19,1011,-001.9,-02.06,-273.142,-273.141,34.833,20.584,8.08,08.087,0.000,100,9999,9999,9999,9999
0000127,2019/05/24 15:54:19,1021,01413,1.33178,1.31942,1.74931,1.40484,213.831,214.228,-0.396
0000128,2019/05/24 15:54:24,1011,-002.5,-02.07,-273.147,-273.148,34.809,20.595,8.08,08.087,0.000,100,9999,9999,9999,9999
0000129,2019/05/24 15:54:24,1021,01413,1.33628,1.31999,1.74964,1.40520,219.221,214.436,4.785
0000130,2019/05/24 15:54:29,1011,-002.5,-02.21,-273.149,-273.142,34.776,20.599,8.08,08.087,0.000,100,9999,9999,9999,9999
0000131,2019/05/24 15:54:29,1021,01413,1.32988,1.32181,1.75030,1.40547,210.571,216.168,-5.596
0000132,2019/05/24 15:54:34,1011,-003.2,-02.23,-273.150,-273.141,34.755,20.603,8.08,08.087,0.000,100,9999,9999,9999,9999
0000133,2019/05/24 15:54:34,1021,01413,1.33171,1.31778,1.75045,1.40548,212.976,211.835,1.141
0000134,2019/05/24 15:54:39,1011,-003.2,-02.41,-273.147,-273.131,34.730,20.599,8.08,08.087,0.000,100,9999,9999,9999,9999
0000135,2019/05/24 15:54:39,1021,01413,1.33855,1.32004,1.75046,1.40592,221.196,213.664,7.531
0000136,2019/05/24 15:54:44,1011,-003.8,-02.41,-273.144,-273.146,34.711,20.593,8.08,08.087,0.000,100,9999,9999,9999,9999
0000137,2019/05/24 15:54:44,1021,01413,1.33888,1.32467,1.75090,1.40623,221.228,218.338,2.890
0000138,2019/05/24 15:54:49,1011,-003.8,-02.57,-273.146,-273.142,34.686,20.598,8.08,08.087,0.000,100,9999,9999,9999,9999
0000139,2019/05/24 15:54:49,1021,01413,1.33565,1.32146,1.75115,1.40583,217.678,215.444,2.233
0000140,2019/05/24 15:54:54,1011,-004.3,-02.56,-273.145,-273.128,34.671,20.596,8.08,08.087,0.000,100,9999,9999,9999,9999
